174142,400328
174286,400411
174359,400333
174467,400399
174417,400329
174335,400371
174230,400275
174182,400287
174198,400384
174217,400316
174250,400372
174256,400348
174300,400375
174339,400367
174424,400462
174507,400496
174575,400472
174638,400457
174733,400464
174851,400480
174960,400504
175090,400572
175223,400558
175378,400642
175515,400632
175633,400641
175674,400669
175569,400605
175424,400549
175315,400495
175257,400530
175232,400605
175196,400520
175234,400646
175195,400595
175167,400540
175161,400542
175136,400445
175141,400408
175183,400364
175262,400381
175339,400366
175414,400412
175511,400441
175589,400443
175708,400480
175800,400419
175903,400489
176000,400534
176053,400442
176001,400518
175849,400416
175693,400373
175584,400351
175522,400361
175396,400228
175364,400156
175222,399992
175129,399962
175150,399993
175211,399990
175301,400083
175395,400147
175523,400207
175620,400311
175730,400348
175847,400414
175957,400513
176066,400547
176140,400533
176245,400566
176321,400488
176375,400460
176391,400536
176235,400439
176078,400421
175972,400411
175945,400403
176058,400693
176187,400842
176202,400953
176103,400969
176022,400954
176044,401170
176099,401187
176136,401255
176156,401296
176151,401105
176293,401340
176355,401326
176404,401267
176357,401042
176325,400920
176462,401142
176604,401267
176849,401338
177102,401858
177026,401909
177029,402207
176922,402205
176789,402173
176813,402192
176854,402110
176769,401932
176773,401927
176980,402078
177140,402369
177208,402400
177315,402582
177305,402329
177238,402095
177378,402181
177597,402369
178033,403008
178364,403393
178596,403739
178670,403711
178388,403320
178244,403339
178191,403537
177942,403335
177741,403072
177488,402745
177408,402638
177344,402604
177230,402549
177133,402333
177155,402242
177166,402163
177237,402177
177317,402205
177409,402270
177513,402222
177593,402151
177658,402140
177709,402113
177657,402142
177535,402107
177463,402070
177400,402074
177384,402063
177372,401967
177395,401963
177356,401909
177312,401881
177272,401734
177342,401772
177376,401612
177471,401644
177531,401574
177597,401472
177607,401052
177227,399962
177047,399672
177074,400050
177015,400403
176928,400505
176960,400579
176969,400691
177033,400655
177102,400504
177151,400449
177137,400401
177193,400397
177162,400211
177234,400210
177416,400285
177568,400308
177694,400267
177859,400333
177945,400268
177909,400345
177785,400282
177664,400278
177635,400311
177629,400226
177575,400003
177649,400085
177673,400028
