165689,21092,89881
165798,21110,140136
165936,21131,205547
166063,21154,270669
166204,21174,335759
166353,21199,401360
166458,21218,467091
166417,21203,520347
166110,21145,524287
165732,21083,524287
165468,21046,524287
165336,21024,524287
165285,21022,524287
165304,21024,524287
165293,21025,524287
165257,21014,524287
165221,21007,524287
165205,21006,524287
165256,21017,524287
165326,21028,524287
165415,21043,524287
165535,21059,524287
165651,21080,524287
165761,21100,524287
165893,21120,524287
166018,21141,524287
166141,21162,524287
166205,21167,524287
165982,21126,524287
165595,21057,524287
165253,21007,524287
165048,20977,524287
164961,20966,524287
164943,20964,524287
164941,20965,524287
164913,20961,524287
164861,20953,524287
164839,20948,524287
164855,20954,524287
164917,20966,524287
164995,20978,524287
165091,20994,524287
165201,21012,524287
165313,21031,524287
165419,21053,524287
165537,21070,524287
165677,21095,524287
165792,21115,524287
165802,21112,524287
165529,21066,491456
165162,21005,434940
164867,20961,427840
164701,20934,427844
164658,20934,427833
164662,20937,427857
164680,20938,427885
164657,20938,427850
164633,20932,427856
164623,20933,427863
164662,20939,427839
164727,20957,427871
164821,20972,427889
164929,20986,427881
165054,21006,427910
165168,21031,427888
165275,21045,427949
165395,21067,427930
165515,21089,427934
165659,21111,427930
165743,21129,427895
165592,21095,427795
165259,21042,427669
164938,20992,427588
164752,20964,427538
164688,20957,427488
164703,20964,427533
164742,20971,427509
164746,20969,427505
164705,20965,427489
164684,20962,427466
164684,20961,427458
164737,20972,427442
164826,20989,427451
164906,21002,427461
165013,21021,427473
165116,21040,427498
165235,21061,427532
165352,21077,427546
165467,21095,427564
165463,21089,427520
165241,21051,427435
164950,21002,427377
164755,20978,427375
164701,20976,427374
164753,20983,427408
164832,20997,427448
164889,21005,427449
164913,21008,427482
164932,21016,427482
164988,21024,427494
165084,21045,427529
165205,21064,427581
165353,21088,427612
165496,21114,427643
165645,21139,427685
165808,21166,427700
165962,21192,427739
166125,21223,427774
166297,21254,427796
166419,21273,427770
166314,21250,427719
165995,21199,427598
165683,21150,427524
165470,21123,427493
165375,21112,427481
165362,21112,427492
165393,21117,427546
165398,21117,427527
165359,21113,427516
165323,21106,427529
165319,21107,427535
165353,21114,427561
165435,21130,427577
165533,21144,427606
165648,21169,427632
165765,21188,427673
165883,21206,427679
166007,21229,427743
166131,21250,427771
166266,21272,427779
166329,21278,427736
166117,21238,427678
165785,21185,427581
165511,21140,427519
165323,21111,427514
165262,21110,427504
165280,21114,427525
165302,21115,427593
165307,21117,427586
165266,21109,427601
165260,21108,427588
165281,21116,427616
165354,21128,427664
165443,21143,427672
165560,21164,427707
165697,21184,427734
165816,21206,427772
165934,21224,427801
166076,21249,427859
166207,21272,427885
166349,21294,427905
166494,21321,427900
166487,21311,427846
166215,21260,427743
165844,21201,427653
165580,21160,427549
165425,21136,427576
165370,21130,427573
165372,21130,427601
165379,21134,427577
165367,21128,427577
165332,21119,427572
165318,21118,427532
165363,21126,427552
165420,21135,427544
165513,21151,427548
165607,21162,427559
165726,21184,427568
165829,21199,427560
165932,21214,427588
166052,21236,427593
166171,21255,427589
166298,21276,427607
166386,21287,427550
166238,21251,427445
165905,21194,427342
165590,21146,427236
165398,21114,427178
165316,21104,427177
165326,21103,427179
165352,21108,427176
165342,21106,427141
165295,21096,427097
