36161.80078,205746.4063,106
36165.010546,205756.9063,105.9
36167.060546,205759.22505,105.3
36171.460546,205777.95473,104.3
36177.010546,205817.2641,102.9
36193.640624,205819.60316,101
36207.70039,205833.87191,99
36228.090234,205838.41097,96.4
36252.05,205868.01097,93.2
36273.880078,205888.44065,89.5
36307.880078,205889.39065,85.3
36337.140234,205895.72033,80.7
36373.35,205896.67033,76.2
36403.889844,205915.75002,71.8
36421.179688,205893.35002,67.7
36422.79961,205898.22033,64.4
36403.229688,205895.74064,61.7
36374.159766,205900.74064,60.3
36324.709766,205912.24064,60.3
36278.039454,205894.94064,61.6
36217.039454,205910.72032,64
36150.479298,205901.09064,67.4
36082.109376,205913.70157,71.4
36012.059376,205911.85157,75.8
35963.709376,205890.78126,80.4
35919.879298,205898.44064,84.7
35901.44922,205888.54064,88.3
35889.069142,205908.83126,91.3
35887.719142,205893.99063,93.5
35890.509376,205888.16095,94.8
35890.329298,205884.58127,95.6
35900.689454,205882.34064,95.9
35907.489454,205901.56096,96.1
35914.819532,205873.86096,96.1
35922.619532,205882.7219,95.9
35922.479688,205878.36252,95.5
35931.05,205888.38283,95.1
35934.35,205902.21252,94.4
35951.290234,205876.99221,93.6
35969.010156,205889.32189,92.5
35988.840234,205882.79064,91
36014.85039,205893.68127,89.3
36035.210546,205900.49064,87.4
36072.10039,205892.26095,85.2
36099.870312,205906.87032,82.7
36137.560156,205901.85001,80.1
36166.680078,205924.40001,77.4
36183.25,205901.1297,75.2
36185.280078,205904.70001,73.3
36161.640234,205914.87033,72.6
36129.320312,205908.00158,73
36077.65,205935.56095,74.7
36019.769922,205913.54064,77.3
35956.769922,205920.79064,80.9
35881.340234,205911.55002,85.3
35811.630078,205918.45002,90.4
35737.810156,205928.25002,96.1
35684.710156,205911.74064,101.4
35645.060156,205918.64064,106.5
35619.569922,205910.70001,110.7
35615.739844,205924.43907,114
35609.1,205923.6297,116.3
35622.060156,205899.50001,117.9
35626.640234,205903.73908,118.9
